ID,Age,Education_level,Income,Marital_Status,Total_Spend,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Campaigns_Accepted
5524,67,high,58138.0,Single,1617,8,10,4,0
2174,70,high,46344.0,Single,27,1,1,2,0
4141,59,high,71613.0,Together,776,8,2,10,0
6182,40,high,26646.0,Together,53,2,0,4,0
5324,43,Low,58293.0,Married,422,5,3,6,0
7446,57,high,62513.0,Together,716,6,4,10,0
965,53,high,55635.0,Divorced,590,7,3,7,0
6177,39,Low,33454.0,Married,169,4,0,4,0
4855,50,Low,30351.0,Together,46,3,0,2,0
5899,74,Low,5648.0,Together,49,1,0,0,1
1994,41,high,51381.5,Married,19,1,0,2,0
387,48,Middle,7500.0,Married,61,2,0,3,0
2125,65,high,63033.0,Divorced,1102,3,4,8,0
8180,72,high,59354.0,Divorced,310,6,1,5,0
2569,37,high,17323.0,Married,46,1,0,3,0
2114,78,Low,82800.0,Single,1315,7,6,12,2
9736,44,high,41850.0,Married,96,3,0,3,0
4939,78,high,37760.0,Together,317,4,1,6,0
6565,75,high,76995.0,Married,1782,11,4,9,1
2278,39,Low,33812.0,Single,133,2,1,3,0
9360,42,high,37040.0,Married,316,4,2,5,0
5376,45,high,2447.0,Married,1730,0,28,0,0
1993,75,Low,58607.0,Married,972,2,3,9,1
4047,70,Low,65324.0,Married,544,6,2,9,0
1409,73,high,40689.0,Together,444,7,1,5,0
7892,55,high,18589.0,Single,75,2,1,3,0
2404,48,high,53359.0,Married,257,5,1,4,0
5255,38,high,51381.5,Single,637,27,0,0,0
9422,35,high,38360.0,Married,131,2,1,4,0
1966,59,Low,84618.0,Married,1672,6,9,10,1
6864,35,high,10979.0,Divorced,30,3,0,3,0
3033,61,high,38620.0,Together,318,2,5,3,0
5710,54,high,40548.0,Together,120,2,1,4,1
7373,72,Low,46610.0,Divorced,302,4,1,6,0
8755,78,high,68657.0,Married,1196,3,5,9,0
10738,73,high,49389.0,Single,65,2,0,3,0
4339,54,Low,67353.0,Married,913,5,6,12,0
10755,48,Low,23718.0,Married,81,3,1,2,0
8595,51,high,42429.0,Widow,67,1,1,3,0
2968,81,Low,48948.0,Divorced,902,7,10,5,1
8601,44,high,80011.0,Married,1395,8,6,5,0
503,39,high,20559.0,Married,53,2,0,3,0
8430,67,high,21994.0,Together,22,0,0,3,0
7281,65,Low,51381.5,Single,186,1,3,4,0
2139,49,high,7500.0,Married,31,2,0,3,0
1371,48,high,79941.0,Single,984,2,4,9,0
9909,28,Low,7500.0,Married,122,3,1,3,0
7286,56,high,41728.0,Together,55,2,0,2,0
7244,73,high,51381.5,Single,124,2,1,4,0
6566,70,Low,72550.0,Married,1319,5,2,12,0
8614,67,high,65486.0,Widow,507,4,2,10,0
4114,60,high,79143.0,Married,1693,6,9,13,0
1331,47,high,35790.0,Single,72,2,0,3,0
2225,47,high,82582.0,Divorced,1617,4,9,7,2
9381,46,high,66373.0,Married,606,4,2,10,0
6260,69,high,82384.0,Together,1957,3,10,13,1
10383,58,high,70287.0,Divorced,1093,5,5,10,0
7437,36,high,27938.0,Single,29,1,0,4,0
8557,42,high,51381.5,Single,46,2,0,3,0
8375,56,Low,55954.0,Married,518,8,2,6,0
6853,42,high,75777.0,Single,1438,3,6,11,2
3076,49,high,66653.0,Together,612,4,2,12,0
1012,72,high,61823.0,Single,884,8,2,10,0
6518,73,Low,67680.0,Widow,606,7,3,8,0
4137,76,high,70666.0,Together,1076,7,4,4,0
8082,53,high,25721.0,Married,34,1,1,2,0
1386,57,high,32474.0,Together,11,1,0,2,0
9369,45,Low,88194.0,Single,1274,11,10,10,2
4477,66,high,69096.0,Together,653,5,2,10,0
1357,54,high,74854.0,Together,1562,2,5,5,0
1402,70,high,66991.0,Married,1253,4,8,6,0
10629,51,Low,51381.5,Married,109,3,0,3,0
6312,65,high,65031.0,Married,863,10,3,13,0
8132,49,Low,60631.0,Married,661,9,2,8,1
1050,72,high,28332.0,Married,65,2,1,4,0
5846,47,high,40246.0,Divorced,13,1,0,2,0
1859,52,high,75251.0,Married,1890,7,6,5,0
7503,48,high,75825.0,Single,2209,5,8,9,1
10401,48,Low,26326.0,Together,18,0,0,3,0
1618,59,high,56046.0,Together,692,10,1,8,1
3332,39,high,29760.0,Single,165,3,1,4,0
2261,55,high,26304.0,Married,16,1,0,2,0
5346,51,Low,23559.0,Married,79,3,0,3,0
4119,61,high,38620.0,Together,318,2,5,3,0
535,37,high,81361.0,Divorced,778,3,10,13,0
5268,64,high,29440.0,Married,56,1,0,4,0
273,54,high,36138.0,Married,151,3,1,4,1
4452,67,high,50388.0,Single,372,6,1,6,2
8504,51,high,79593.0,Married,1366,5,6,7,1
771,57,high,54178.0,Together,194,2,2,5,0
8996,67,Low,51381.5,Married,603,7,2,8,0
9235,67,high,51381.5,Single,18,1,0,2,0
5798,51,high,51381.5,Together,985,2,4,8,0
11178,52,high,42394.0,Single,32,1,0,3,0
2230,54,Low,23626.0,Married,43,3,1,3,0
7516,41,high,30096.0,Married,45,2,0,3,0
7247,64,high,47916.0,Widow,606,7,4,6,1
11100,52,high,51813.0,Divorced,63,2,0,3,0
4646,73,Low,78497.0,Married,978,5,7,12,1
3037,41,Low,50150.0,Married,410,5,2,7,0
1473,64,Low,47823.0,Single,72,2,0,3,0
1016,65,Low,34554.0,Single,55,2,0,3,0
4518,45,high,85693.0,Together,1169,9,5,11,0
9370,79,Low,65846.0,Married,1120,6,3,6,0
8908,65,high,87195.0,Married,1097,3,11,5,0
8373,45,Middle,24594.0,Together,29,1,0,3,0
7533,60,high,49096.0,Married,187,4,1,4,0
2683,55,high,52413.0,Married,910,6,4,12,0
3629,46,high,38557.0,Single,145,3,1,3,0
10991,64,high,89058.0,Married,850,5,4,4,0
5077,45,high,77298.0,Together,969,6,6,11,0
7431,33,Low,68126.0,Single,1820,7,4,5,1
3267,61,high,57288.0,Together,608,8,1,8,1
999,33,high,86037.0,Single,730,6,7,11,2
9215,44,Low,43974.0,Married,551,6,4,6,0
2286,62,high,50785.0,Single,114,2,1,3,0
1592,54,high,90765.0,Married,1724,4,6,5,2
367,46,Low,36550.0,Married,577,9,1,5,0
5234,57,Low,30753.0,Together,81,1,1,3,0
9862,55,high,21918.0,Together,33,2,0,3,0
9805,71,high,56129.0,Together,660,6,2,10,0
6205,57,high,32557.0,Single,80,2,1,3,0
8442,39,high,19510.0,Married,30,1,0,3,0
7386,48,high,30992.0,Divorced,43,1,0,3,0
7215,41,high,101970.0,Single,1135,6,8,13,3
1491,59,Low,71488.0,Together,559,3,4,7,0
11071,40,high,79607.0,Single,1923,3,6,6,0
3381,71,high,54348.0,Married,90,2,0,4,0
8268,63,Low,51381.5,Married,404,6,1,7,0
11051,68,Low,77376.0,Together,661,6,3,10,0
8026,72,high,62998.0,Married,463,5,4,5,0
433,66,high,61331.0,Alone,632,11,1,6,0
9597,55,high,73448.0,Married,725,7,2,9,0
1295,61,high,51381.5,Married,725,6,5,7,0
5290,60,Low,41551.0,Married,279,5,1,5,0
1685,57,Low,62981.0,Together,1482,4,5,13,1
5342,48,Middle,9548.0,Divorced,29,1,0,3,0
9579,65,Low,33762.0,Married,106,2,2,2,0
7660,51,Low,35860.0,Alone,49,1,1,2,1
1461,59,Low,36921.0,Divorced,38,2,0,3,0
821,32,high,92859.0,Single,2077,5,4,12,0
11084,48,high,65104.0,Together,1053,3,5,7,0
8690,62,high,86111.0,Married,1385,5,7,10,0
2937,50,Low,68352.0,Single,871,8,5,9,0
9701,36,high,41883.0,Together,312,4,2,3,0
9949,48,high,59809.0,Married,877,3,3,6,0
10837,49,high,23957.0,Married,68,2,0,3,0
3120,43,high,38547.0,Together,22,1,0,2,0
5885,51,Low,35688.0,Married,211,4,1,4,0
4050,58,high,49605.0,Married,127,2,1,4,0
3830,71,high,59354.0,Married,459,4,4,7,0
7987,55,high,65747.0,Married,460,8,1,6,1
7798,52,Low,46344.0,Together,429,7,1,5,0
92,36,high,34176.0,Alone,89,3,0,4,0
7055,72,Low,61010.0,Together,1021,8,5,11,0
10240,75,high,69372.0,Together,1381,10,4,6,2
3025,66,high,49967.0,Single,306,6,1,5,0
9283,46,high,60199.0,Single,18,0,0,3,0
9970,47,high,55375.0,Together,162,1,1,6,0
2730,69,high,80317.0,Single,1231,3,4,10,0
2795,66,high,30523.0,Single,13,1,0,2,0
9260,79,Low,70356.0,Married,1706,10,6,9,0
8182,40,high,23228.0,Married,121,3,0,4,0
10095,49,Low,74165.0,Divorced,1293,5,4,10,0
8475,51,Low,157243.0,Married,1608,0,22,0,0
4370,58,high,43482.0,Together,88,2,0,4,0
10573,71,high,62551.0,Divorced,421,6,7,4,1
3712,65,high,52332.0,Divorced,259,3,2,6,1
6637,36,high,66951.0,Single,1117,3,4,7,0
3152,67,high,26091.0,Together,89,2,1,3,0
5610,59,high,33456.0,Together,36,1,0,3,0
6460,42,high,28718.0,Married,57,2,0,3,0
1349,54,high,50447.0,Married,148,3,1,3,0
1880,65,Low,53537.0,Together,93,2,1,3,0
641,57,high,52074.0,Single,119,2,2,2,1
8717,49,Low,80427.0,Married,1835,11,8,8,0
10314,76,Low,83837.0,Married,1318,9,10,5,2
10854,54,Low,38853.0,Married,45,2,0,3,0
10492,65,high,38285.0,Together,10,0,0,3,0
6935,73,Low,78497.0,Married,978,5,7,12,1
7698,48,Low,51650.0,Married,191,4,1,4,0
3559,36,Low,16248.0,Married,57,2,1,3,0
10562,78,high,66835.0,Married,1033,6,4,13,0
10796,40,high,30477.0,Married,66,1,1,3,0
2563,63,Middle,28249.0,Married,43,2,0,3,0
3518,41,high,25271.0,Married,50,1,1,2,0
5823,54,Low,32303.0,Single,39,1,0,4,0
3934,58,high,61286.0,Married,608,7,1,8,0
6982,48,high,74068.0,Married,1581,4,10,9,0
6431,60,Low,45759.0,Married,68,2,0,3,0
9733,46,Middle,24882.0,Together,80,1,1,2,1
5602,35,Low,66973.0,Together,1282,8,7,12,0
7829,124,Low,36640.0,Divorced,65,2,1,2,0
1324,36,high,38872.0,Married,91,3,0,3,0
326,51,high,51148.0,Married,315,5,1,6,0
7224,47,high,31353.0,Married,31,1,1,2,0
6999,44,high,69661.0,Married,834,7,3,12,0
9938,70,high,80067.0,Married,1600,4,6,6,1
6422,70,high,86718.0,Married,1270,5,6,5,0
3182,51,Low,46854.0,Single,263,5,1,3,1
7300,72,high,69142.0,Divorced,535,8,1,7,1
10424,56,high,75922.0,Single,1295,4,4,9,0
8727,46,high,63693.0,Divorced,1150,11,6,9,0
2798,47,Low,102160.0,Together,1240,7,9,10,3
1030,59,Low,40637.0,Single,38,1,0,3,0
624,40,high,18890.0,Single,35,0,1,2,1
5176,36,high,29604.0,Together,53,1,0,3,1
5552,61,high,48721.0,Divorced,293,4,2,5,0
868,58,high,44794.0,Married,65,2,0,3,0
380,70,high,64497.0,Divorced,1804,11,4,9,1
2677,68,high,46097.0,Together,241,3,1,6,0
6521,70,high,77972.0,Together,1101,4,6,9,0
6927,56,Low,44377.0,Married,264,5,1,5,0
2877,50,high,46014.0,Together,541,7,1,8,0
0,39,high,70951.0,Married,1198,3,4,9,0
1584,47,high,41443.0,Married,482,8,1,5,0
7264,46,Low,52195.0,Single,17,1,0,2,0
6274,76,high,83790.0,Married,1615,8,10,6,2
1377,70,high,44551.0,Widow,285,4,1,5,0
454,44,high,69508.0,Together,1135,11,4,11,0
1755,36,Low,45204.0,Together,114,1,1,4,0
2075,55,high,72460.0,Married,1047,3,5,7,0
4785,54,Low,77622.0,Together,714,6,3,11,0
9076,44,Low,30732.0,Married,185,4,1,4,0
7079,62,high,63887.0,Divorced,1245,9,6,12,0
4653,46,high,42011.0,Together,189,3,1,4,0
7375,48,high,51369.0,Together,576,8,2,4,0
709,72,high,51537.0,Divorced,1103,2,2,11,0
460,52,Low,79930.0,Married,1753,3,5,8,0
3726,38,Low,34320.0,Together,17,1,0,2,0
6798,58,high,37070.0,Single,433,5,1,8,0
5341,62,Low,81975.0,Divorced,1588,6,3,4,1
1606,53,high,38590.0,Together,22,1,0,2,0
9617,73,high,15033.0,Single,19,1,0,3,0
3233,59,Low,62745.0,Married,1117,7,8,11,0
89,49,Low,22212.0,Married,69,2,0,4,0
2936,42,high,23661.0,Together,23,1,0,3,0
9449,66,Low,79761.0,Single,605,5,2,11,0
7297,51,high,7500.0,Single,57,3,1,3,0
11004,131,Low,60182.0,Single,22,1,0,2,0
313,56,high,73455.0,Widow,2088,6,5,10,1
9940,66,high,64961.0,Together,1009,6,4,4,0
10735,53,high,22804.0,Single,26,2,0,2,0
9529,34,high,73687.0,Married,1627,3,9,9,1
6439,66,high,61074.0,Married,1102,11,5,8,0
7411,60,Low,31686.0,Married,17,1,0,3,0
2176,52,high,80134.0,Married,1690,5,3,6,3
9265,71,high,75027.0,Married,1390,9,4,6,0
8867,36,Low,67546.0,Married,2126,4,10,5,0
8932,55,high,65176.0,Together,1531,9,6,6,0
10236,49,high,31160.0,Single,64,2,0,3,0
6340,39,high,29938.0,Single,26,1,0,3,0
10089,50,high,102692.0,Divorced,1112,6,9,13,4
2227,66,Low,26490.0,Together,210,3,1,5,0
10992,57,high,75702.0,Together,1148,4,6,11,0
5304,50,Low,30899.0,Single,33,1,0,3,0
309,63,Low,63342.0,Together,1101,8,3,5,1
3406,60,high,45989.0,Single,322,3,2,7,0
2661,60,high,18701.0,Single,44,2,0,4,0
3153,67,Low,40737.0,Single,17,1,0,2,0
10264,45,high,15287.0,Divorced,31,1,1,2,1
1184,56,Low,69674.0,Divorced,845,10,2,10,0
4200,54,high,44159.0,Married,275,4,1,6,0
9396,46,Low,37717.0,Married,25,1,0,2,0
2387,72,high,43776.0,Together,275,5,2,4,0
6690,58,high,38179.0,Married,90,3,1,3,0
1225,61,high,80124.0,Married,1495,3,7,8,1
9703,54,Low,38097.0,Married,184,3,2,2,1
291,54,high,72940.0,Married,981,3,3,6,0
4557,54,high,22070.0,Together,67,2,2,2,0
2379,71,high,69267.0,Single,1635,3,4,5,0
5726,41,high,31788.0,Single,60,3,0,4,0
3066,49,Low,61905.0,Together,231,4,2,4,0
6336,64,high,29315.0,Married,48,2,0,4,0
10967,61,high,33378.0,Divorced,99,2,0,4,0
2304,61,Low,66313.0,Together,770,6,3,12,0
3445,68,high,60714.0,Single,957,7,4,10,0
7828,43,high,77882.0,Together,818,3,3,5,0
3762,38,Low,69867.0,Single,925,3,5,8,1
4391,56,high,63841.0,Divorced,908,9,3,9,0
4669,43,Middle,24480.0,Married,102,3,0,4,0
10144,48,high,51369.0,Together,576,8,2,4,0
8652,78,high,37760.0,Together,317,4,1,6,0
1672,50,Low,65640.0,Together,461,5,1,8,0
8962,49,high,44319.0,Married,37,2,0,3,0
9974,50,high,30631.0,Married,70,3,1,2,0
10983,72,high,75278.0,Together,930,6,3,13,0
8148,68,high,50898.0,Together,859,6,2,12,0
10102,58,high,79946.0,Widow,1478,5,11,5,0
4697,75,high,35416.0,Divorced,390,7,1,5,0
9262,40,Low,32414.0,Together,52,1,0,3,1
7254,55,high,38361.0,Together,137,3,1,3,0
4543,44,high,82497.0,Married,1919,2,7,9,1
4927,53,high,16626.0,Together,68,3,0,3,0
10451,59,high,29672.0,Together,25,0,0,3,0
2926,72,high,55951.0,Together,1374,3,6,11,2
2874,36,Low,35388.0,Divorced,32,1,0,3,0
9738,38,high,42386.0,Together,100,3,0,3,0
7119,42,high,68627.0,Single,825,2,3,6,0
3924,59,Low,57912.0,Divorced,916,8,3,12,1
5827,66,high,35246.0,Divorced,62,3,1,3,0
5596,68,Low,58821.0,Together,728,9,2,9,0
10812,46,Low,46377.0,Married,90,2,1,3,0
1717,36,high,39747.0,Single,273,5,1,4,0
9491,40,high,23976.0,Together,66,3,1,3,0
9274,63,high,80950.0,Married,1213,6,7,9,1
6609,58,high,27038.0,Widow,107,3,0,3,0
6963,77,high,77457.0,Single,1157,2,5,10,1
4440,60,high,64100.0,Married,546,8,3,6,1
1379,32,high,42670.0,Together,241,4,2,4,0
10032,48,high,12571.0,Divorced,53,3,1,3,0
2826,57,high,22574.0,Married,37,2,0,3,0
2437,35,high,51381.5,Married,1611,6,5,12,2
6320,48,high,70893.0,Single,1508,6,6,10,0
3050,58,high,54198.0,Married,235,3,1,6,0
231,68,high,28839.0,Together,32,2,0,3,0
2392,52,high,40321.0,Married,102,3,0,3,0
9478,39,high,66503.0,Single,401,4,3,6,0
113,73,high,30833.0,Married,28,1,0,3,0
2863,54,high,51381.5,Single,1052,2,3,10,2
1802,53,high,64795.0,Married,680,3,3,12,0
520,50,high,34421.0,Married,30,1,0,2,0
8275,59,Low,47025.0,Divorced,20,1,0,2,0
9750,63,Low,64325.0,Divorced,1307,10,3,5,0
2607,71,high,40464.0,Single,630,8,2,8,0
7214,67,high,62187.0,Married,1283,4,8,5,0
5835,48,Low,14849.0,Divorced,65,2,0,4,0
3896,40,high,27255.0,Married,37,1,0,3,0
10350,74,Low,54432.0,Married,38,1,0,3,0
7786,38,Low,29999.0,Single,160,3,1,4,0
2861,41,high,24072.0,Single,23,1,0,2,0
663,35,Low,33996.0,Single,71,1,1,3,0
10675,68,Low,66334.0,Married,1161,9,3,5,0
2521,53,high,35178.0,Married,59,1,1,2,1
9592,41,high,22010.0,Together,33,2,0,3,0
10151,64,high,62204.0,Divorced,946,4,5,12,0
7381,56,high,75693.0,Divorced,1442,11,4,6,3
4099,52,high,30675.0,Married,62,1,0,3,0
9560,59,high,83003.0,Together,1674,7,6,8,1
1150,125,Low,83532.0,Together,1853,4,6,4,1
10172,36,high,68655.0,Single,1538,4,5,11,0
11191,38,high,41411.0,Divorced,139,2,1,4,0
9707,55,Low,55212.0,Married,1182,4,2,11,2
6245,74,Low,59292.0,Together,507,3,5,8,0
8234,51,Middle,27190.0,Together,18,1,0,2,1
1411,72,high,82623.0,Divorced,940,2,9,4,0
8553,59,high,44300.0,Married,42,1,0,3,0
1826,54,high,84835.0,Divorced,1190,4,4,6,0
8842,53,high,30372.0,Widow,44,2,0,3,0
11030,48,high,33181.0,Married,16,1,0,2,1
2579,67,high,71113.0,Married,835,6,7,9,0
175,38,high,71952.0,Married,1443,8,4,8,2
9185,58,Low,69759.0,Single,1029,4,6,5,0
11056,50,high,72099.0,Married,1188,3,4,10,0
9365,48,Low,60000.0,Single,1277,11,3,5,0
6201,46,high,38643.0,Single,49,2,0,3,0
2061,69,high,50737.0,Married,99,2,0,4,1
6184,55,Low,68462.0,Married,1670,3,3,8,0
6142,81,high,65073.0,Married,900,5,3,5,0
4107,76,Low,46681.0,Together,425,4,6,4,0
7274,67,high,78618.0,Married,2153,4,7,10,1
9336,55,Low,62187.0,Widow,636,6,2,10,0
2958,46,high,28442.0,Married,57,2,1,4,0
933,46,Low,37717.0,Married,25,1,0,2,0
5837,57,high,51479.0,Married,494,6,3,6,0
10704,55,high,54803.0,Single,693,6,2,9,0
5125,64,high,79530.0,Married,1348,4,10,11,0
4432,48,high,31615.0,Divorced,51,2,0,3,0
5955,62,high,72025.0,Together,1932,4,3,8,0
2928,49,Low,52614.0,Single,990,2,4,8,0
5680,40,Low,35684.0,Married,30,1,0,3,0
10313,49,high,48178.0,Married,254,5,1,4,0
2557,54,high,29548.0,Single,29,1,1,2,1
1245,58,high,63810.0,Single,1371,4,3,12,1
1519,52,Low,38578.0,Single,73,3,0,3,0
10703,49,high,46098.0,Single,120,3,2,2,0
1726,54,high,22585.0,Single,81,1,1,2,1
4459,35,high,30279.0,Single,37,1,0,3,0
1729,63,Low,66426.0,Together,1377,3,5,10,0
1517,55,high,30822.0,Single,51,1,0,3,0
2098,55,Low,33581.0,Married,17,1,0,2,0
9543,39,high,19986.0,Married,22,0,0,3,0
6878,70,high,27421.0,Widow,324,4,1,6,0
3310,51,Low,35688.0,Married,211,4,1,4,0
2724,43,high,36143.0,Single,19,0,1,2,0
948,53,high,10245.0,Single,41,1,2,2,0
6720,56,high,43795.0,Together,492,7,3,4,1
6202,64,high,63381.0,Together,1005,4,5,13,0
2066,75,high,38823.0,Together,114,2,1,3,0
9799,56,Low,83664.0,Divorced,1173,2,2,12,0
8318,45,high,90300.0,Together,1738,5,6,8,1
5642,45,high,62499.0,Together,222,3,1,6,0
2669,31,high,74293.0,Single,1127,5,4,6,0
455,78,Low,51012.0,Married,209,4,1,4,0
7683,56,high,70777.0,Married,787,5,3,12,0
3428,33,Low,68682.0,Together,1598,4,9,10,0
7414,53,high,43824.0,Married,186,3,1,4,0
6354,40,high,15345.0,Together,47,1,1,2,0
798,37,high,23442.0,Single,27,1,0,3,0
8213,44,Low,14515.0,Together,96,2,2,3,0
2488,68,Low,31395.0,Divorced,64,2,1,3,0
9999,59,high,75276.0,Together,1040,9,4,9,0
7617,50,high,42373.0,Single,163,2,1,5,0
615,64,high,30507.0,Together,343,5,1,4,0
2552,69,Low,55521.0,Single,446,6,3,6,1
194,59,high,48006.0,Married,41,1,0,3,0
3645,52,Low,27213.0,Single,70,2,0,4,0
8890,53,Low,65808.0,Divorced,272,5,1,5,0
5049,50,Low,30351.0,Together,46,3,0,2,0
9973,61,high,50437.0,Married,490,7,1,8,0
7301,42,Low,23616.0,Single,79,3,0,3,0
10882,48,high,53858.0,Married,915,4,3,6,0
7030,69,Low,66465.0,Married,1485,11,9,12,1
7422,37,high,46923.0,Single,369,5,1,7,0
3523,62,high,75072.0,Together,1073,5,4,8,0
7106,81,Low,75865.0,Married,1242,3,5,10,0
6504,49,Low,19789.0,Together,78,2,1,3,1
5067,30,high,80134.0,Together,1378,2,7,11,4
4216,43,high,91065.0,Single,1474,7,9,9,2
8581,53,high,49505.0,Married,751,10,2,8,0
5929,51,Low,37401.0,Married,48,2,0,3,0
3129,41,high,30096.0,Married,45,2,0,3,0
6528,42,high,18492.0,Together,10,1,0,2,0
1361,50,high,82584.0,Married,1435,3,4,8,2
6932,83,Low,93027.0,Married,2119,7,10,5,1
7284,71,high,48686.0,Married,20,1,0,2,0
1340,38,high,92910.0,Married,1795,6,7,13,3
8746,35,high,75433.0,Married,1188,2,5,10,2
5987,35,Low,10404.0,Together,43,1,0,4,0
3767,56,high,61314.0,Married,1008,5,5,12,0
3725,63,Low,84865.0,Single,1688,2,4,9,4
4324,35,high,42387.0,Married,684,8,1,7,0
238,57,Low,67309.0,Together,1082,9,6,9,0
6694,60,high,75236.0,Married,1068,8,3,13,0
498,54,high,30015.0,Single,57,1,0,4,0
9347,68,high,50943.0,Together,46,1,0,3,0
9699,58,high,67272.0,Divorced,733,6,2,12,0
10664,75,high,51529.0,Widow,467,9,1,5,0
5455,53,Low,32011.0,Married,122,2,1,4,0
456,38,Low,7500.0,Married,36,2,0,3,0
5012,35,high,28691.0,Married,34,1,0,3,0
7495,76,Low,56223.0,Married,156,2,1,5,0
5029,78,high,18100.0,Married,14,0,0,3,0
10642,35,high,30279.0,Single,37,1,0,3,0
2106,50,Low,20130.0,Married,34,1,0,3,0
